Ranking,ID_Cliente,Probabilidade_Churn,Faixa_Risco,Principais_Fatores_de_Risco,Meses_de_Contrato,Tipo_Contrato,Servico_Internet,Mensalidade,Total_Pago,Forma_Pagamento,Fatura_Sem_Papel,Genero,Idoso,Tem_Parceiro,Tem_Dependentes
1,4912-PIGUY,86.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,84.6,84.6,Electronic check,Yes,Female,0,No,No
2,1452-VOQCH,83.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,75.1,75.1,Electronic check,Yes,Male,0,No,No
3,2545-EBUPK,82.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,84.05,186.05,Electronic check,Yes,Female,1,No,No
4,7439-DKZTW,82.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,80.55,80.55,Electronic check,Yes,Male,0,No,No
5,2254-DLXRI,81.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",1,Month-to-month,Fiber optic,79.15,79.15,Mailed check,Yes,Female,0,No,No
6,5150-ITWWB,81.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,94.85,335.75,Electronic check,Yes,Male,1,No,No
7,4927-WWOOZ,81.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,91.45,171.45,Electronic check,Yes,Male,0,Yes,No
8,8161-QYMTT,80.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,94.1,701.3,Electronic check,Yes,Male,0,No,No
9,8622-ZLFKO,80.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",6,Month-to-month,Fiber optic,90.75,512.25,Electronic check,Yes,Female,0,Yes,No
10,1628-BIZYP,80.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,85.0,85.0,Electronic check,Yes,Male,0,No,No
11,7577-SWIFR,79.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,89.25,89.25,Electronic check,Yes,Male,0,No,No
12,5542-TBBWB,79.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico",1,Month-to-month,Fiber optic,69.9,69.9,Electronic check,Yes,Male,0,No,No
13,9603-OAIHC,77.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,70.05,70.05,Electronic check,Yes,Male,1,No,No
14,5032-MIYKT,77.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",1,Month-to-month,Fiber optic,70.7,70.7,Mailed check,Yes,Female,0,No,No
15,7465-ZZRVX,76.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,70.35,70.35,Electronic check,Yes,Male,0,No,No
16,3462-BJQQA,76.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",6,Month-to-month,Fiber optic,89.75,552.65,Electronic check,Yes,Female,0,No,No
17,1640-PLFMP,76.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,70.25,70.25,Electronic check,Yes,Female,0,No,No
18,3878-AVSOQ,76.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,71.25,71.25,Electronic check,Yes,Female,1,No,No
19,3489-HHPFY,76.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,84.05,134.05,Electronic check,Yes,Female,0,Yes,No
20,6969-MVBAI,75.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,90.1,816.8,Electronic check,Yes,Female,1,No,No
21,7952-OBOYL,75.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",3,Month-to-month,Fiber optic,89.85,244.45,Mailed check,Yes,Male,0,No,No
22,0021-IKXGC,75.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,72.1,72.1,Electronic check,Yes,Female,1,No,No
23,9605-WGJVW,75.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,70.2,70.2,Electronic check,Yes,Female,1,No,No
24,6856-RAURS,74.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",2,Month-to-month,Fiber optic,74.9,136.05,Mailed check,Yes,Female,0,No,No
25,3422-GALYP,73.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,79.45,145.15,Electronic check,Yes,Male,0,No,No
26,8775-ERLNB,73.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,74.3,74.3,Electronic check,No,Male,1,Yes,No
27,6630-UJZMY,73.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,83.25,308.05,Electronic check,Yes,Female,1,Yes,No
28,4847-TAJYI,73.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",6,Month-to-month,Fiber optic,89.35,567.8,Electronic check,Yes,Female,1,No,No
29,4115-NZRKS,73.2,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,89.15,574.35,Electronic check,Yes,Female,1,No,No
30,4884-ZTHVF,72.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,87.1,713.6,Electronic check,Yes,Female,1,No,No
31,7994-UYIVZ,72.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",8,Month-to-month,Fiber optic,85.65,659.45,Bank transfer (automatic),Yes,Male,0,Yes,No
32,2262-SLNVK,72.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,70.1,70.1,Electronic check,No,Female,0,No,No
33,8739-XNIKG,72.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",5,Month-to-month,Fiber optic,84.0,424.75,Electronic check,Yes,Female,0,No,No
34,8309-IEYJD,72.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",1,Month-to-month,Fiber optic,70.6,70.6,Mailed check,Yes,Female,1,No,No
35,2754-SDJRD,72.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",8,Month-to-month,Fiber optic,100.15,908.55,Credit card (automatic),Yes,Female,1,No,No
36,4090-KPJIP,72.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,74.95,212.4,Electronic check,Yes,Female,0,No,No
37,9617-INGJY,72.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",1,Month-to-month,Fiber optic,70.6,70.6,Mailed check,Yes,Male,0,No,No
38,8040-MNRTF,72.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",1,Month-to-month,Fiber optic,71.1,71.1,Mailed check,No,Female,0,No,No
39,1197-BVMVG,72.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,74.45,294.45,Electronic check,Yes,Female,1,No,No
40,6350-XFYGW,71.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,94.75,422.4,Electronic check,Yes,Male,1,No,No
41,4234-XTNEA,71.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,79.95,174.45,Electronic check,Yes,Male,0,No,No
42,2215-ZAFGX,71.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,85.5,791.7,Electronic check,Yes,Male,0,No,No
43,3320-VEOYC,71.5,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",14,Month-to-month,Fiber optic,95.6,1273.3,Electronic check,Yes,Male,1,No,No
